S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
67,GLH,276.00,8.71,3.26,272.60,280.00,271.10,"229,225.00",267.29
68,GMFBS,"1,485.00",-13.40,-0.89,"1,480.10","1,500.00","1,480.10",571.00,"1,498.40"
69,GMFIL,488.30,-2.40,-0.49,490.00,494.90,488.00,"10,285.00",490.70
70,GMLI,"2,251.70",-75.81,-3.26,"2,282.10","2,310.00","2,245.70",905.00,"2,327.51"
71,GRDBL,"1,200.00",-7.22,-0.60,"1,184.10","1,259.00","1,184.10","7,317.00","1,207.22"
72,GSY,9.25,-0.06,-0.64,9.17,9.25,9.17,"4,120.00",9.31
73,GUFL,535.00,-3.43,-0.64,535.00,549.00,529.00,"7,147.00",538.43
74,GVL,456.50,-0.88,-0.19,458.00,462.90,455.30,"21,168.00",457.38
75,H8020,11.07,0.02,0.18,11.08,11.10,11.05,"93,200.00",11.05
76,HATHY,"1,225.00",3.85,0.32,"1,243.00","1,243.00","1,221.00","14,076.00","1,221.15"
77,HBL,216.90,0.58,0.27,220.60,220.60,216.00,"15,142.00",216.32
78,HDHPC,204.00,2.49,1.24,201.00,206.00,200.30,"247,663.00",201.51
79,HDL,"1,190.20",-2.61,-0.22,"1,200.00","1,202.00","1,190.00","16,593.00","1,192.81"
80,HEI,566.20,-1.23,-0.22,570.00,570.00,566.00,"6,229.00",567.43
81,HEIP,363.00,-5.00,-1.36,363.00,363.00,363.00,127.00,368.00
82,HHL,410.00,2.71,0.67,408.00,415.00,407.00,"5,785.00",407.29
83,HIDCL,298.20,-3.40,-1.13,304.50,304.50,298.10,"136,251.00",301.60
84,HIDCLP,213.10,-3.67,-1.69,221.10,221.10,213.10,"370,196.00",216.77
85,HLBSL,923.00,-13.75,-1.47,937.00,937.00,923.00,"3,047.00",936.75
86,HLI,389.10,-1.41,-0.36,391.00,394.00,389.10,"30,893.00",390.51
87,HPPL,551.00,-9.47,-1.69,565.00,570.00,551.00,"41,363.00",560.47
88,HRL,899.50,-0.03,0.00,881.90,911.90,881.90,"32,998.00",899.53
89,HURJA,274.00,5.10,1.90,274.00,281.90,270.70,"836,068.00",268.90
90,ICFC,611.00,-2.62,-0.43,613.60,615.00,611.00,"7,167.00",613.62
91,ICFCD88,"1,086.20",4.10,0.38,"1,085.00","1,086.20","1,083.70",75.00,"1,082.10"
92,IGI,526.00,2.44,0.47,523.00,528.00,521.20,"18,702.00",523.56
93,IHL,510.00,-14.94,-2.85,517.50,525.00,510.00,"6,926.00",524.94
94,ILBS,840.00,-7.27,-0.86,840.00,840.00,838.00,448.00,847.27
95,ILI,437.20,-2.74,-0.62,440.00,442.00,437.00,"16,690.00",439.94
96,JBBL,319.20,-2.45,-0.76,323.00,324.00,319.10,"34,944.00",321.65
97,JBLB,"1,283.00",-8.91,-0.69,"1,280.10","1,300.00","1,280.10","3,868.00","1,291.91"
98,JFL,465.20,-0.44,-0.09,465.00,472.00,465.00,"9,095.00",465.64
99,JOSHI,470.00,19.27,4.28,459.70,487.00,455.50,"254,857.00",450.73
100,JSLBB,"1,273.00",-40.70,-3.10,"1,288.00","1,288.00","1,262.00",965.00,"1,313.70"
101,KBL,203.90,-0.63,-0.31,207.00,207.00,202.10,"106,344.00",204.53
102,KBSH,"1,880.00",-12.00,-0.63,"1,900.00","1,900.00","1,880.00",378.00,"1,892.00"
103,KDBY,9.57,-0.08,-0.83,9.48,9.57,9.48,"3,000.00",9.65
104,KDL,"1,110.00",1.61,0.15,"1,125.00","1,125.00","1,101.00",461.00,"1,108.39"
105,KEF,9.00,-0.01,-0.11,9.00,9.02,9.00,"8,400.00",9.01
106,KKHC,372.40,2.21,0.60,377.50,380.00,362.00,"61,183.00",370.19
107,KMCDB,"1,002.30",-12.03,-1.19,"1,001.70","1,033.00","1,001.10","1,674.00","1,014.33"
108,KPCL,552.00,-7.13,-1.28,565.00,566.90,551.50,"20,350.00",559.13
109,KSBBL,446.10,-0.09,-0.02,444.00,446.50,444.00,"5,641.00",446.19
110,KSY,9.35,-0.19,-1.99,9.35,9.35,9.35,100.00,9.54
